Sample,Transect.ID,Individual ID,Year,Site,VisitNumber,Lat,Long,Collected,Transect,NetorPan,DateCollected,Type,SpeciesCode,GenusCode,Sex,RNA conc.,Virus_Type,Virus,Richness,EstRich_Asyp,EstRich_46,EstRich_183,EstRich_338,Abundance,Diversity,APME_ABUND,BOIM_ABUND,LASI_ABUND,PEPR_ABUND
254,BB15B2,BB15B2N-22,2015,BB,1,42.18209,-83.41592,squash,B,Net,7/18/2015,APIS,APME,APIS,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
318,BB15A2,BB15A2P-86,2015,BB,1,42.18209,-83.41592,squash,A,Pan,7/18/2015,NON,PEPR,PEPO,M,22.9,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
411,BB15C2,BB15C2P-179,2015,BB,1,42.18209,-83.41592,squash,C,Pan,7/18/2015,NON,PEPR,PEPO,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
427,BB15C2,BB15C2P-195,2015,BB,1,42.18209,-83.41592,squash,C,Pan,7/18/2015,NON,LASI,LASI,F,37.5,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
779,BB15A3,BB15A3N-2,2015,BB,2,42.18209,-83.41592,squash,A,Net,7/28/2015,NON,PEPR,PEPO,F,10.3,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
780,BB15A3,BB15A3N-3,2015,BB,2,42.18209,-83.41592,squash,A,Net,7/28/2015,NON,PEPR,PEPO,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
783,BB15A3,BB15A3N-6,2015,BB,2,42.18209,-83.41592,squash,A,Net,7/28/2015,NON,PEPR,PEPO,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
939,BB15C3,BB15C3P-161,2015,BB,2,42.18209,-83.41592,squash,C,Pan,7/28/2015,NON,PEPR,PEPO,F,too high,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
233,BB15A2,BB15A2N-1,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,BOIM,BOMB,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
234,BB15A2,BB15A2N-2,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,BOIM,BOMB,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
235,BB15A2,BB15A2N-3,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,APIS,APME,APIS,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
253,BB15B2,BB15B2N-21,2015,BB,1,42.18209,-83.41592,squash,B,Net,7/18/2015,APIS,APME,APIS,F,too high,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
278,BB15C2,BB15C2N-46,2015,BB,1,42.18209,-83.41592,squash,C,Net,7/18/2015,NON,BOIM,BOMB,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
907,BB15D3,BB15D3N-130,2015,BB,2,42.18209,-83.41592,flowers,D,Net,7/28/2015,NON,BOIM,BOMB,F,too high,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
309,BB15A2,BB15A2P-77,2015,BB,1,42.18209,-83.41592,squash,A,Pan,7/18/2015,NON,LASI,LASI,F,38,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
352,BB15A2,BB15A2P-120,2015,BB,1,42.18209,-83.41592,squash,A,Pan,7/18/2015,NON,LASI,LASI,F,38.3,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
380,BB15B2,BB15B2P-148,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,LASI,LASI,F,29.3,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
925,BB15B3,BB15B3P-148,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,LASI,LASI,F,52,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
980,BB15D3,BB15D3P-202,2015,BB,2,42.18209,-83.41592,flowers,D,Pan,7/28/2015,NON,LASI,LASI,F,62,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
240,BB15A2,BB15A2N-8,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,PEPR,PEPO,F,220,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
265,BB15B2,BB15B2N-33,2015,BB,1,42.18209,-83.41592,squash,B,Net,7/18/2015,NON,PEPR,PEPO,F,440,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
348,BB15A2,BB15A2P-116,2015,BB,1,42.18209,-83.41592,squash,A,Pan,7/18/2015,NON,LASI,LASI,F,90.5,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
381,BB15B2,BB15B2P-149,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,LASI,LASI,F,6.6,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
801,BB15A3,BB15A3N-24,2015,BB,2,42.18209,-83.41592,squash,A,Net,7/28/2015,NON,PEPR,PEPO,F,520,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
930,BB15B3,BB15B3P-152,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,LASI,LASI,F,84.3,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
932,BB15B3,BB15B3P-154,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,PEPR,PEPO,F,too high,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
968,BB15D3,BB15D3P-190,2015,BB,2,42.18209,-83.41592,flowers,D,Pan,7/28/2015,NON,LASI,LASI,F,22.7,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
236,BB15A2,BB15A2N-4,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,PEPR,PEPO,F,too high,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
244,BB15A2,BB15A2N-12,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,PEPR,PEPO,F,289,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
304,BB15A2,BB15A2P-72,2015,BB,1,42.18209,-83.41592,squash,A,Pan,7/18/2015,NON,LASI,LASI,F,448,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
364,BB15B2,BB15B2P-132,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,LASI,LASI,F,45.5,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
401,BB15B2,BB15B2P-169,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,LASI,LASI,F,67.9,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
796,BB15A3,BB15A3N-19,2015,BB,2,42.18209,-83.41592,squash,A,Net,7/28/2015,NON,PEPR,PEPO,M,39.6,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
874,BB15B3,BB15B3N-97,2015,BB,2,42.18209,-83.41592,squash,B,Net,7/28/2015,NON,PEPR,PEPO,M,10.9,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
926,BB15B3,BB15B3P-149,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,LASI,LASI,F,80.8,DWV,1,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
928,BB15B3,BB15B3P-151A,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,PEPR,PEPO,M,80.5,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
938,BB15B3,BB15B3P-160,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,LASI,LASI,F,22,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
963,BB15D3,BB15D3P-185,2015,BB,2,42.18209,-83.41592,flowers,D,Pan,7/28/2015,NON,LASI,LASI,F,10.1,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
247,BB15A2,BB15A2N-15,2015,BB,1,42.18209,-83.41592,squash,A,Net,7/18/2015,NON,PEPR,PEPO,F,430,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
271,BB15B2,BB15B2N-39,2015,BB,1,42.18209,-83.41592,squash,B,Net,7/18/2015,NON,PEPR,PEPO,F,414,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
373,BB15B2,BB15B2P-141,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,PEPR,PEPO,F,354,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
387,BB15B2,BB15B2P-155,2015,BB,1,42.18209,-83.41592,squash,B,Pan,7/18/2015,NON,LASI,LASI,F,29.5,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
426,BB15C2,BB15C2P-194,2015,BB,1,42.18209,-83.41592,squash,C,Pan,7/18/2015,NON,LASI,LASI,F,137,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
430,BB15C2,BB15C2P-198,2015,BB,1,42.18209,-83.41592,squash,C,Pan,7/18/2015,NON,LASI,LASI,F,95.1,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
853,BB15B3,BB15B3N-76,2015,BB,2,42.18209,-83.41592,squash,B,Net,7/28/2015,NON,PEPR,PEPO,F,278,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
915,BB15A3,BB15A3P-138,2015,BB,2,42.18209,-83.41592,squash,A,Pan,7/28/2015,NON,LASI,LASI,F,29.6,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
918,BB15B3,BB15B3P-141,2015,BB,2,42.18209,-83.41592,squash,B,Pan,7/28/2015,NON,PEPR,PEPO,M,152,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
947,BB15C3,BB15C3P-169,2015,BB,2,42.18209,-83.41592,squash,C,Pan,7/28/2015,NON,LASI,LASI,F,101,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
956,BB15D3,BB15D3P-178,2015,BB,2,42.18209,-83.41592,flowers,D,Pan,7/28/2015,NON,LASI,LASI,F,318,DWV,0,17,48.921,5.393,11.683,15.604,407,0.459839782,3,4,87,286
603,BC15B2,BC15B2N-14,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,APIS,APME,APIS,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
605,BC15B2,BC15B2N-16,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,APIS,APME,APIS,F,31,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
618,BC15C2,BC15C2N-29,2015,BC,1,42.35073,-83.8556,squash,C,Net,7/24/2015,APIS,APME,APIS,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
