SampleID,TransectID,Individual.ID,Year,Site,Visit,DateCollected,Type,SpeciesCode,GenusCode,BQCV,S18Retest,NegBQCV
454,W15E2N,W15E2N-24,2015,W,1,7/22/2015,NON,BOIM,BOMB,1,1,1
1322,BC15C3N,BC15C3N-68,2015,BC,2,8/2/2015,APIS,APME,APIS,1,1,1
1450,G15C3N,G15C3N-34,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,1
1302,BC15C3N,BC15C3N-48,2015,BC,2,8/2/2015,NON,PEPR,PEPO,1,1,1
1519,S15D2N,S15D2N-62,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,1
1195,BJ15C3N,BJ15C3N-48,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,1
453,W15E2N,W15E2N-23,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,1
1663,S15B3N,S15B3N-33,2015,S,2,8/21/2015,APIS,APME,APIS,1,1,1
448,W15E2N,W15E2N-18,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,1
1699,S15D3N,S15D3N-69,2015,S,2,8/21/2015,APIS,APME,APIS,1,1,1
1307,BC15C3N,BC15C3N-53,2015,BC,2,8/2/2015,NON,BOIM,BOMB,1,1,0
427,BB15C2P,BB15C2P-195,2015,BB,1,7/18/2015,NON,LASI,LASI,1,1,0
1353,BC15B3P,BC15B3P-99,2015,BC,2,8/2/2015,NON,LASI,LASI,1,1,1
1363,BC15C3P,BC15C3P-109,2015,BC,2,8/2/2015,NON,LASI,LASI,1,1,1
1406,BC15D3P,BC15D3P-152,2015,BC,2,8/2/2015,NON,LASI,LASI,1,1,1
1602,S15C2P,S15C2P-145,2015,S,1,8/7/2015,NON,LASI,LASI,1,1,0
1708,S15C3N,S15C3N-78,2015,S,2,8/21/2015,NON,PEPR,PEPO,1,1,0
592,BC15A2N,BC15A2N-3,2015,BC,1,7/24/2015,NON,PEPR,PEPO,1,1,0
235,BB15A2N,BB15A2N-3,2015,BB,1,7/18/2015,APIS,APME,APIS,1,1,1
459,W15E2N,W15E2N-29,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,0
1445,G15C3N,G15C3N-29,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,1
381,BB15B2P,BB15B2P-149,2015,BB,1,7/18/2015,NON,LASI,LASI,1,1,0
549,BJ15A2P,BJ15A2P-48,2015,BJ,1,7/23/2015,NON,LASI,LASI,1,1,1
599,BC15B2N,BC15B2N-10,2015,BC,1,7/24/2015,NON,PEPR,PEPO,1,1,0
614,BC15C2N,BC15C2N-25,2015,BC,1,7/24/2015,NON,PEPR,PEPO,1,1,0
674,BC15B2P,BC15B2P-85,2015,BC,1,7/24/2015,NON,LASI,LASI,1,1,1
1586,S15B2P,S15B2P-129,2015,S,1,8/7/2015,NON,LASI,LASI,1,1,0
519,BJ15B2N,BJ15B2N-18,2015,BJ,1,7/23/2015,APIS,APME,APIS,1,1,1
1196,BJ15C3N,BJ15C3N-49,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,1
1429,G15B3N,G15B3N-13,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,1
1698,S15D3N,S15D3N-68,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,1
571,BJ15C2P,BJ15C2P-70,2015,BJ,1,7/23/2015,NON,BOIM,BOMB,1,1,1
1294,BC15B3N,BC15B3N-40,2015,BC,2,8/2/2015,APIS,APME,APIS,1,1,1
1428,G15B3N,G15B3N-12,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,0
1496,S15B2N,S15B2N-39,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,1
1635,S15A3N,S15A3N-5,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,0
426,BB15C2P,BB15C2P-194,2015,BB,1,7/18/2015,NON,LASI,LASI,1,1,0
742,BC15D2P,BC15D2P-153,2015,BC,1,7/24/2015,NON,LASI,LASI,1,1,0
2976,GT16C1N,GT16C1N-83,2016,GT,1,8/17/2016,NON,BOIM,BOMB,1,1,0
4501,PL16A2N,PL16A2N-20,2016,PL,2,8/30/2016,NON,BOIM,BOMB,1,1,0
4612,PL16C2N,PL16C2N-131,2016,PL,2,8/30/2016,NON,BOIM,BOMB,1,1,1
2035,PR16C1P,PR16C1P-288,2016,PR,1,7/26/2016,NON,PEPR,PEPO,1,1,0
2063,PR16D1P,PR16D1P-316,2016,PR,1,7/26/2016,NON,PEPR,PEPO,1,1,0
2199,E16B1N,E16B1N-100,2016,E,1,7/27/2016,NON,PEPR,PEPO,1,1,0
2900,GT16A1N,GT16A1N-7,2016,GT,1,8/17/2016,NON,PEPR,PEPO,1,1,0
4266,BP16D2N,BP16D2N-153,2016,BP,2,8/26/2016,NON,LASI,LASI,1,1,0
4720,PL16A2P,PL16A2P-238,2016,PL,2,8/30/2016,NON,PEPR,PEPO,1,1,0
3589,PR16B2N,PR16B2N-95,2016,PR,2,8/23/2016,NON,BOIM,BOMB,1,1,0
3567,PR16B2N,PR16B2N-73,2016,PR,2,8/23/2016,NON,BOIM,BOMB,1,1,1
4146,BP16A2N,BP16A2N-33,2016,BP,2,8/26/2016,NON,BOIM,BOMB,1,1,1
2324,BP16A1N,BP16A1N-9,2016,BP,1,8/10/2016,NON,PEPR,PEPO,1,1,0
2946,GT16C1N,GT16C1N-53,2016,GT,1,8/17/2016,NON,PEPR,PEPO,1,1,0
4864,T16A2N,T16A2N-12,2016,T,2,9/2/2016,NON,BOIM,BOMB,1,1,0
3709,PR16D2N,PR16D2N-215,2016,PR,2,8/23/2016,APIS,APME,APIS,1,1,0
3425,E16C2N,E16C2N-66,2016,E,2,8/22/2016,NON,BOIM,BOMB,1,1,1
2933,GT16B1N,GT16B1N-40,2016,GT,1,8/17/2016,NON,BOIM,BOMB,1,1,1
3010,GT16D1N,GT16D1N-118,2016,GT,1,8/17/2016,APIS,APME,APIS,1,1,1
4840,SP16D2N,SP16D2N-91,2016,SP,2,9/1/2016,APIS,APME,APIS,1,1,1
2373,BP16C1N,BP16C1N-58,2016,BP,1,8/10/2016,NON,BOIM,BOMB,1,1,1
4483,PL16A2N,PL16A2N-2,2016,PL,2,8/30/2016,APIS,APME,APIS,1,1,1
4758,SP16A2N,SP16A2N-9,2016,SP,2,9/1/2016,NON,BOIM,BOMB,1,1,0
3204,T16D1N,T16D1N-104,2016,T,1,8/18/2016,APIS,APME,APIS,1,1,1
3291,K16B1N,K16B1N-42,2016,K,1,8/21/2016,NON,BOIM,BOMB,1,1,1
3375,E16B2N,E16B2N-16,2016,E,2,8/22/2016,NON,PEPR,PEPO,1,1,0
3463,E16D2N,E16D2N-104,2016,E,2,8/22/2016,APIS,APME,APIS,1,1,1
4831,SP16D2N,SP16D2N-82,2016,SP,2,9/1/2016,APIS,APME,APIS,1,1,1
2962,GT16C1N,GT16C1N-69,2016,GT,1,8/17/2016,APIS,APME,APIS,1,1,1
4237,BP16C2N,BP16C2N-124,2016,BP,2,8/26/2016,NON,BOIM,BOMB,1,1,1
4799,SP16B2N,SP16B2N-50,2016,SP,2,9/1/2016,NON,BOIM,BOMB,1,1,1
1819,PR16A1P,PR16A1P-72,2016,PR,1,7/26/2016,NON,LASI,LASI,1,1,0
1910,PR16B1P,PR16B1P-163,2016,PR,1,7/26/2016,NON,LASI,LASI,1,1,0
3238,T16D1P,T16D1P-138,2016,T,1,8/18/2016,NON,LASI,LASI,1,1,1
4607,PL16C2N,PL16C2N-126,2016,PL,2,8/30/2016,NON,LASI,LASI,1,0,0
