Sample,TransectID,Individual.ID,Year,Site,Visit,DateCollected,Type,SpeciesCode,GenusCode,DWV,S18Retest,NegDWV
1663,S15B3N,S15B3N-33,2015,S,2,8/21/2015,APIS,APME,APIS,1,1,1
1699,S15D3N,S15D3N-69,2015,S,2,8/21/2015,APIS,APME,APIS,1,1,1
448,W15E2N,W15E2N-18,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,0
453,W15E2N,W15E2N-23,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,0
1322,BC15C3N,BC15C3N-68,2015,BC,2,8/2/2015,APIS,APME,APIS,1,1,0
1450,G15C3N,G15C3N-34,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,0
1519,S15D2N,S15D2N-62,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,0
454,W15E2N,W15E2N-24,2015,W,1,7/22/2015,NON,BOIM,BOMB,1,1,0
348,BB15A2P,BB15A2P-116,2015,BB,1,7/18/2015,NON,LASI,LASI,1,1,0
1302,BC15C3N,BC15C3N-48,2015,BC,2,8/2/2015,NON,PEPR,PEPO,1,1,0
462,W15E2N,W15E2N-32,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,1
1494,S15B2N,S15B2N-37,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,0
1499,S15D2N,S15D2N-42,2015,S,1,8/7/2015,NON,BOIM,BOMB,1,1,1
939,BB15C3P,BB15C3P-161,2015,BB,2,7/28/2015,NON,PEPR,PEPO,1,1,0
253,BB15B2N,BB15B2N-21,2015,BB,1,7/18/2015,APIS,APME,APIS,1,1,0
1311,BC15C3N,BC15C3N-57,2015,BC,2,8/2/2015,NON,BOIM,BOMB,1,1,1
380,BB15B2P,BB15B2P-148,2015,BB,1,7/18/2015,NON,LASI,LASI,1,1,0
563,BJ15B2P,BJ15B2P-62,2015,BJ,1,7/23/2015,NON,LASI,LASI,1,1,1
925,BB15B3P,BB15B3P-148,2015,BB,2,7/28/2015,NON,LASI,LASI,1,1,1
1097,W15D3P,W15D3P-111,2015,W,2,7/30/2015,NON,LASI,LASI,1,1,0
1301,BC15C3N,BC15C3N-47,2015,BC,2,8/2/2015,NON,PEPR,PEPO,1,1,1
463,W15E2N,W15E2N-33,2015,W,1,7/22/2015,NON,BOIM,BOMB,1,1,0
1445,G15C3N,G15C3N-29,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,0
1472,S15B2N,S15B2N-15,2015,S,1,8/7/2015,NON,BOIM,BOMB,1,1,0
265,BB15B2N,BB15B2N-33,2015,BB,1,7/18/2015,NON,PEPR,PEPO,1,1,1
437,W15B2N,W15B2N-7,2015,W,1,7/22/2015,NON,PEPR,PEPO,1,1,0
472,W15A2P,W15A2P-42,2015,W,1,7/22/2015,NON,LASI,LASI,1,1,0
674,BC15B2P,BC15B2P-85,2015,BC,1,7/24/2015,NON,LASI,LASI,1,1,0
716,BC15C2P,BC15C2P-127,2015,BC,1,7/24/2015,NON,LASI,LASI,1,1,0
930,BB15B3P,BB15B3P-152,2015,BB,2,7/28/2015,NON,LASI,LASI,1,1,0
1091,W15C3P,W15C3P-105,2015,W,2,7/30/2015,NON,LASI,LASI,1,1,0
1154,BJ15A3N,BJ15A3N-7,2015,BJ,2,7/31/2015,NON,PEPR,PEPO,1,1,0
1634,S15A3N,S15A3N-4,2015,S,2,8/21/2015,NON,PEPR,PEPO,1,1,0
1740,S15C3P,S15C3P-110,2015,S,2,8/21/2015,NON,LASI,LASI,1,1,0
1196,BJ15C3N,BJ15C3N-49,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,1
1216,BJ15B3P,BJ15B3P-69,2015,BJ,2,7/31/2015,APIS,APME,APIS,1,1,0
236,BB15A2N,BB15A2N-4,2015,BB,1,7/18/2015,NON,PEPR,PEPO,1,1,0
436,W15B2N,W15B2N-6,2015,W,1,7/22/2015,NON,PEPR,PEPO,1,1,0
502,BJ15A2N,BJ15A2N-1,2015,BJ,1,7/23/2015,NON,PEPR,PEPO,1,1,0
1157,BJ15A3N,BJ15A3N-10,2015,BJ,2,7/31/2015,NON,PEPR,PEPO,1,1,0
1646,S15B3N,S15B3N-16,2015,S,2,8/21/2015,NON,PEPR,PEPO,1,1,0
465,W15E2N,W15E2N-35,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,1
1319,BC15C3N,BC15C3N-65,2015,BC,2,8/2/2015,APIS,APME,APIS,1,1,1
1441,G15C3N,G15C3N-25,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,0
1631,S15A3N,S15A3N-1,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,1
1710,S15C3N,S15C3N-80,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,0
1357,BC15B3P,BC15B3P-103,2015,BC,2,8/2/2015,NON,LASI,LASI,1,1,0
2342,BP16B1N,BP16B1N-27,2016,BP,1,8/10/2016,APIS,APME,APIS,1,1,0
3393,E16B2N,E16B2N-34,2016,E,2,8/22/2016,NON,BOIM,BOMB,1,1,1
3567,PR16B2N,PR16B2N-73,2016,PR,2,8/23/2016,NON,BOIM,BOMB,1,1,1
3952,GT16B2N,GT16B2N-55,2016,GT,2,8/24/2016,NON,BOIM,BOMB,1,1,0
4624,PL16C2N,PL16C2N-143,2016,PL,2,8/30/2016,NON,BOIM,BOMB,1,1,1
