SampleID,TransectID,Individual.ID,Year,Site,Visit,DateCollected,Type,SpeciesCode,GenusCode,SBV,S18Retest,NegSBV
1322,BC15C3N,BC15C3N-68,2015,BC,2,8/2/2015,APIS,APME,APIS,1,1,1
454,W15E2N,W15E2N-24,2015,W,1,7/22/2015,NON,BOIM,BOMB,1,1,1
1450,G15C3N,G15C3N-34,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,1
1195,BJ15C3N,BJ15C3N-48,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,1
1152,BJ15A3N,BJ15A3N-5,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,0
1709,S15C3N,S15C3N-79,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,1
253,BB15B2N,BB15B2N-21,2015,BB,1,7/18/2015,APIS,APME,APIS,1,1,1
447,W15E2N,W15E2N-17,2015,W,1,7/22/2015,APIS,APME,APIS,1,1,1
1159,BJ15A3N,BJ15A3N-12,2015,BJ,2,7/31/2015,APIS,APME,APIS,1,1,1
1203,BJ15C3N,BJ15C3N-56,2015,BJ,2,7/31/2015,APIS,APME,APIS,1,1,1
474,W15A2P,W15A2P-44,2015,W,1,7/22/2015,NON,LASI,LASI,1,1,0
1167,BJ15B3N,BJ15B3N-20,2015,BJ,2,7/31/2015,NON,BOIM,BOMB,1,1,1
1309,BC15C3N,BC15C3N-55,2015,BC,2,8/2/2015,NON,BOIM,BOMB,1,1,0
1182,BJ15B3N,BJ15B3N-35,2015,BJ,2,7/31/2015,APIS,APME,APIS,1,1,1
1216,BJ15B3P,BJ15B3P-69,2015,BJ,2,7/31/2015,APIS,APME,APIS,1,1,1
1441,G15C3N,G15C3N-25,2015,G,2,8/5/2015,APIS,APME,APIS,1,1,1
1496,S15B2N,S15B2N-39,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,1
1521,S15D2N,S15D2N-64,2015,S,1,8/7/2015,APIS,APME,APIS,1,1,1
1682,S15D3N,S15D3N-52,2015,S,2,8/21/2015,APIS,APME,APIS,1,1,1
1710,S15C3N,S15C3N-80,2015,S,2,8/21/2015,NON,BOIM,BOMB,1,1,1
3321,K16D1N,K16D1N-72,2016,K,1,8/21/2016,APIS,APME,APIS,1,1,1
3462,E16D2N,E16D2N-103,2016,E,2,8/22/2016,APIS,APME,APIS,1,1,1
3486,E16C2P,E16C2P-127,2016,E,2,8/22/2016,APIS,APME,APIS,1,1,1
3567,PR16B2N,PR16B2N-73,2016,PR,2,8/23/2016,NON,BOIM,BOMB,1,1,1
