Sample,Transect.ID,Individual.ID,Year,Site,Visit,SiteVisit,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,Initials,Notes,,,
233,BB15A2N,BB15A2N-1,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Bombus,impatiens,BOIM,F,12/10/2015,MF,,,,
234,BB15A2N,BB15A2N-2,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Bombus,impatiens,BOIM,F,12/10/2015,MF,,,,
235,BB15A2N,BB15A2N-3,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Apis,mellifera,APME,F,12/10/2015,MF,,,,
236,BB15A2N,BB15A2N-4,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
237,BB15A2N,BB15A2N-5,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
238,BB15A2N,BB15A2N-6,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
239,BB15A2N,BB15A2N-7,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
240,BB15A2N,BB15A2N-8,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
241,BB15A2N,BB15A2N-9,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
242,BB15A2N,BB15A2N-10,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
243,BB15A2N,BB15A2N-11,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
244,BB15A2N,BB15A2N-12,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
245,BB15A2N,BB15A2N-13,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
246,BB15A2N,BB15A2N-14,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
247,BB15A2N,BB15A2N-15,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
248,BB15A2N,BB15A2N-16,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
249,BB15A2N,BB15A2N-17,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
250,BB15A2N,BB15A2N-18,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
251,BB15A2N,BB15A2N-19,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
252,BB15A2N,BB15A2N-20,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
253,BB15B2N,BB15B2N-21,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Apis,mellifera,APME,F,12/10/2015,MF,,,,
254,BB15B2N,BB15B2N-22,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Apis,mellifera,APME,F,12/10/2015,MF,,,,
255,BB15B2N,BB15B2N-23,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
256,BB15B2N,BB15B2N-24,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
257,BB15B2N,BB15B2N-25,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
258,BB15B2N,BB15B2N-26,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
259,BB15B2N,BB15B2N-27,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
260,BB15B2N,BB15B2N-28,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
261,BB15B2N,BB15B2N-29,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
262,BB15B2N,BB15B2N-30,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
263,BB15B2N,BB15B2N-31,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
264,BB15B2N,BB15B2N-32,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
265,BB15B2N,BB15B2N-33,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
266,BB15B2N,BB15B2N-34,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
267,BB15B2N,BB15B2N-35,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
268,BB15B2N,BB15B2N-36,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
269,BB15B2N,BB15B2N-37,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
270,BB15B2N,BB15B2N-38,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
271,BB15B2N,BB15B2N-39,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
272,BB15B2N,BB15B2N-40,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
273,BB15B2N,BB15B2N-41,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
274,BB15B2N,BB15B2N-42,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
275,BB15B2N,BB15B2N-43,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
276,BB15B2N,BB15B2N-44,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
277,BB15C2N,BB15C2N-45,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
278,BB15C2N,BB15C2N-46,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Bombus,impatiens,BOIM,F,12/10/2015,MF,,,,
279,BB15C2N,BB15C2N-47,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
280,BB15C2N,BB15C2N-48,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
281,BB15C2N,BB15C2N-49,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
282,BB15C2N,BB15C2N-50,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
283,BB15C2N,BB15C2N-51,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
284,BB15C2N,BB15C2N-52,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
285,BB15C2N,BB15C2N-53,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
286,BB15C2N,BB15C2N-54,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
287,BB15C2N,BB15C2N-55,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
288,BB15C2N,BB15C2N-56,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
289,BB15C2N,BB15C2N-57,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
290,BB15C2N,BB15C2N-58,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
291,BB15C2N,BB15C2N-59,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
292,BB15C2N,BB15C2N-60,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
293,BB15C2N,BB15C2N-61,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
294,BB15A2P,BB15A2P-62,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
295,BB15A2P,BB15A2P-63,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
296,BB15A2P,BB15A2P-64,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
297,BB15A2P,BB15A2P-65,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,F,12/10/2015,MF,,,,
298,BB15A2P,BB15A2P-66,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
299,BB15A2P,BB15A2P-67,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
300,BB15A2P,BB15A2P-68,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
301,BB15A2P,BB15A2P-69,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
302,BB15A2P,BB15A2P-70,2015,BB,1,BB1,7/18/2015,Bee,Halictidae,Lasioglossum,,LASI,F,12/10/2015,MF,,,,
303,BB15A2P,BB15A2P-71,2015,BB,1,BB1,7/18/2015,Bee,Apidae,Peponapis,pruinosa,PEPR,M,12/10/2015,MF,,,,
