Code,ApisDWV,ApisBQCV,ApisSBV,BombusDWV,BombusBQCV,BombusSBV,LasiDWV,LasiBQCV,LasiSBV,PepoDWV,PepoBQCV,PepoSBV
BB,33.33333333,100,100,0,0,0,45.45454545,13.63636364,0,35,0,0
BC,61.9047619,90.47619048,38.0952381,30.76923077,30.76923077,61.53846154,22.72727273,22.72727273,0,35,20,0
BJ,25,81.25,25,13.33333333,63.33333333,33.33333333,10.52631579,5.263157895,0,31.25,0,0
BP,70,85,25,45,45,35,5.263157895,5.263157895,0,16.66666667,16.66666667,0
E,45,80,45,20,15,20,5,0,0,5,10,10
G,80,75,35,33.33333333,0,0,0,0,0,0,0,0
GT,25,75,20,20,35,30,5,0,0,5,10,0
K,77.77777778,55.55555556,11.11111111,50,15,40,0,0,0,NA,NA,NA
PL,25,80,10,25,20,55,5,5,0,10,5,0
PR,50,55,10,15.78947368,21.05263158,31.57894737,5,10,0,30,10,10
S,85,70,40,73.33333333,56.66666667,43.33333333,31.57894737,10.52631579,0,25,5,0
SP,55,85,40,45,50,55,20,0,0,0,0,0
T,12.5,87.5,75,30,25,45,5,5,0,0,0,0
W,75,90,20,30.76923077,30.76923077,38.46153846,66.66666667,0,8.333333333,19.04761905,0,0
